"Date","Price","Open","High","Low","Vol.","Change %"
"09/10/2021","508.20","514.00","530.00","508.00","0.08K","1.52%"
"09/09/2021","500.60","497.60","510.00","497.60","0.03K","0.62%"
"09/08/2021","497.50","510.00","514.00","496.40","0.07K","-3.96%"
"09/07/2021","518.00","545.00","587.40","511.10","0.08K","-5.34%"
"09/03/2021","547.20","520.90","555.00","516.80","0.15K","5.86%"
"09/02/2021","516.90","481.90","520.90","481.90","0.28K","8.25%"
"09/01/2021","477.50","482.10","485.00","470.00","0.12K","-1.10%"
"08/31/2021","482.80","483.70","492.00","472.00","0.12K","-0.14%"
"08/30/2021","483.50","486.60","498.50","481.10","0.21K","-0.35%"
"08/27/2021","485.20","504.50","504.90","475.50","0.30K","-2.00%"
"08/26/2021","495.10","489.90","516.00","487.40","0.17K","0.81%"
"08/25/2021","491.10","489.00","518.00","480.10","0.20K","2.29%"
"08/24/2021","480.10","505.00","507.40","475.30","0.22K","-3.75%"
"08/23/2021","498.80","485.00","511.60","477.60","0.26K","5.08%"
"08/20/2021","474.70","454.20","475.00","448.00","0.30K","4.51%"
"08/19/2021","454.20","470.70","492.00","454.10","0.31K","-2.95%"
"08/18/2021","468.00","453.10","486.70","452.00","0.23K","2.59%"
"08/17/2021","456.20","460.00","472.00","452.20","0.24K","-3.12%"
"08/16/2021","470.90","497.90","497.90","460.30","0.29K","-4.91%"
"08/13/2021","495.20","498.90","524.80","485.60","0.19K","-1.04%"
"08/12/2021","500.40","485.60","518.90","480.40","0.24K","1.32%"
"08/11/2021","493.90","500.00","507.40","482.90","0.22K","-2.22%"
"08/10/2021","505.10","530.10","530.10","502.30","0.18K","-4.72%"
"08/09/2021","530.10","544.70","568.00","528.00","0.15K","-3.90%"
"08/06/2021","551.60","520.80","557.20","513.00","0.25K","5.49%"
"08/05/2021","522.90","540.10","552.00","522.20","0.27K","-7.37%"
"08/04/2021","564.50","592.00","592.00","564.50","0.14K","-6.92%"
"08/03/2021","606.50","625.00","625.00","601.60","0.24K","-4.58%"
"08/02/2021","635.60","623.10","650.00","604.00","0.22K","2.32%"
"07/30/2021","621.20","630.40","634.30","601.10","0.18K","-0.11%"
"07/29/2021","621.90","620.00","640.00","593.00","0.31K","2.25%"
"07/28/2021","608.20","559.80","620.00","543.00","0.37K","4.50%"
"07/27/2021","582.00","608.00","608.00","582.00","0.21K","-6.73%"
"07/26/2021","624.00","658.20","664.40","620.30","0.21K","-1.58%"
"07/23/2021","634.00","649.00","700.00","616.10","0.57K","-2.01%"
"07/22/2021","647.00","600.00","647.00","590.20","0.56K","10.79%"
"07/21/2021","584.00","584.00","584.00","555.00","0.35K","7.75%"
"07/20/2021","542.00","563.30","577.20","535.00","0.21K","-1.83%"
"07/19/2021","552.10","525.00","572.20","500.00","0.51K","2.93%"
"07/16/2021","536.40","555.60","574.50","535.00","0.46K","9.31%"
"07/15/2021","490.70","504.50","522.70","490.00","0.03K","-5.89%"
"07/14/2021","521.40","559.00","575.00","521.40","0.04K","-12.95%"
"07/13/2021","599.00","675.00","675.00","600.00","0.08K","-12.55%"
"07/12/2021","685.00","701.50","719.50","678.00","0.08K","-2.49%"
"07/09/2021","702.50","708.50","708.50","687.50","0.05K","-2.16%"
"07/08/2021","718.00","758.70","758.70","705.00","0.07K","-7.95%"
"07/07/2021","780.00","795.00","809.70","763.70","0.09K","-1.63%"
"07/06/2021","792.90","751.00","825.60","746.70","0.11K","4.78%"
"07/02/2021","756.70","739.00","762.00","731.00","0.07K","2.91%"
"07/01/2021","735.30","716.00","740.10","683.30","0.08K","2.70%"
"06/30/2021","716.00","748.00","758.00","705.00","0.11K","-5.54%"
"06/29/2021","758.00","780.00","841.20","758.00","0.27K","-5.25%"
"06/28/2021","800.00","771.70","842.30","716.30","0.41K","2.66%"
"06/25/2021","779.30","823.60","828.40","779.30","0.32K","-7.48%"
"06/24/2021","842.30","891.60","914.40","842.30","0.45K","-4.75%"
"06/23/2021","884.30","881.90","901.50","860.70","0.29K","-0.70%"
"06/22/2021","890.50","932.50","938.00","890.50","0.44K","-4.50%"
"06/21/2021","932.50","897.10","939.90","859.80","0.43K","3.85%"
"06/18/2021","897.90","899.90","931.50","855.10","0.43K","-0.77%"
"06/17/2021","904.90","937.60","988.00","904.90","0.47K","-6.51%"
"06/16/2021","967.90","989.30","1,023.00","967.90","0.34K","-4.16%"
"06/15/2021","1,009.90","950.00","1,059.20","943.70","0.68K","1.38%"
"06/14/2021","996.20","1,006.50","1,040.00","996.20","0.37K","-5.95%"
"06/11/2021","1,059.20","1,088.10","1,088.10","1,059.20","0.29K","-5.61%"
"06/10/2021","1,122.20","1,164.10","1,168.00","1,122.20","0.23K","-3.61%"
"06/09/2021","1,164.20","1,160.10","1,199.00","1,142.10","0.31K","-0.24%"
"06/08/2021","1,167.00","1,209.50","1,209.50","1,158.20","0.30K","-4.44%"
"06/07/2021","1,221.20","1,228.40","1,259.90","1,221.20","0.27K","-4.91%"
"06/04/2021","1,284.20","1,291.30","1,315.50","1,284.20","0.13K","-3.17%"
"06/03/2021","1,326.20","1,345.00","1,380.00","1,279.30","0.34K","-0.32%"
